Month,Rig count,Production per rig oil,Legacy production change oil,Total production oil,Production per rig gas,Legacy production change gas,Total production gas
Jan-07, 176 , 19 , (541)," 126,398 ", 842 ," (112,029)"," 4,031,235 "
Feb-07, 180 , 20 , (885)," 134,177 ", 848 ," (115,265)"," 4,053,325 "
Mar-07, 166 , 21 ," (1,192)"," 137,516 ", 853 ," (118,157)"," 4,165,396 "
Apr-07, 157 , 22 ," (1,528)"," 140,626 ", 856 ," (121,321)"," 4,119,073 "
May-07, 170 , 23 ," (1,850)"," 138,405 ", 859 ," (124,365)"," 4,186,646 "
Jun-07, 181 , 23 ," (2,183)"," 137,445 ", 862 ," (127,500)"," 4,214,969 "
Jul-07, 166 , 24 ," (2,505)"," 137,476 ", 865 ," (130,545)"," 4,193,565 "
Aug-07, 173 , 25 ," (2,838)"," 136,551 ", 869 ," (133,733)"," 4,178,554 "
Sep-07, 168 , 26 ," (3,170)"," 147,882 ", 871 ," (136,969)"," 4,225,368 "
Oct-07, 174 , 27 ," (3,490)"," 141,901 ", 871 ," (140,145)"," 4,243,902 "
Nov-07, 182 , 28 ," (3,818)"," 144,085 ", 867 ," (143,482)"," 4,261,362 "
Dec-07, 182 , 29 ," (4,133)"," 138,294 ", 866 ," (146,777)"," 4,117,517 "
Jan-08, 180 , 31 ," (4,451)"," 150,072 ", 871 ," (150,228)"," 4,196,838 "
Feb-08, 187 , 32 ," (4,754)"," 136,390 ", 881 ," (153,427)"," 4,243,387 "
Mar-08, 190 , 32 ," (5,011)"," 153,762 ", 887 ," (155,665)"," 4,247,875 "
Apr-08, 190 , 32 ," (5,234)"," 153,317 ", 890 ," (157,445)"," 4,325,276 "
May-08, 189 , 32 ," (5,353)"," 149,838 ", 892 ," (158,985)"," 4,331,152 "
Jun-08, 188 , 32 ," (5,454)"," 150,338 ", 889 ," (160,522)"," 4,303,725 "
Jul-08, 194 , 32 ," (5,555)"," 151,128 ", 883 ," (161,609)"," 4,291,651 "
Aug-08, 204 , 31 ," (5,655)"," 148,426 ", 882 ," (161,839)"," 4,274,516 "
Sep-08, 206 , 31 ," (5,724)"," 150,971 ", 893 ," (161,137)"," 4,257,253 "
Oct-08, 197 , 32 ," (5,758)"," 144,745 ", 912 ," (159,836)"," 4,181,608 "
Nov-08, 181 , 33 ," (5,772)"," 144,390 ", 937 ," (157,894)"," 4,274,040 "
Dec-08, 150 , 34 ," (5,800)"," 139,946 ", 966 ," (155,243)"," 4,281,839 "
Jan-09, 128 , 37 ," (5,837)"," 142,215 "," 1,006 "," (151,497)"," 4,303,770 "
Feb-09, 105 , 40 ," (5,837)"," 152,909 "," 1,055 "," (147,439)"," 4,392,311 "
