Month,Rig count,Region,Production per rig,Total production,Natural Gas Price
Jan-07,176,Anadarko,842.083257,"40,31,235",6.5
Feb-07,180,Anadarko,847.966912,"40,53,325",7.39
Mar-07,166,Anadarko,852.327623,"41,65,396",7.45
Apr-07,157,Anadarko,856.050993,"41,19,072",7.24
May-07,170,Anadarko,858.90199,"41,86,645",7.45
Jun-07,181,Anadarko,861.667399,"42,14,967",7.32
Jul-07,166,Anadarko,864.819459,"41,93,564",6.56
Aug-07,173,Anadarko,868.940194,"41,78,552",6
Sep-07,168,Anadarko,871.650974,"42,25,367",5.49
Oct-07,174,Anadarko,871.114332,"42,44,042",6.35
Nov-07,182,Anadarko,868.136083,"42,61,523",7.21
Dec-07,182,Anadarko,866.555855,"41,18,018",7.51
Jan-08,180,Anadarko,872.453104,"41,97,599",7.66
Feb-08,187,Anadarko,882.918206,"42,44,617",8.34
Mar-08,190,Anadarko,889.000891,"42,48,894",9.03
Apr-08,190,Anadarko,892.350762,"43,25,760",9.61
May-08,189,Anadarko,894.457676,"43,33,130",10.8
Jun-08,188,Anadarko,890.801481,"43,06,191",11.71
Jul-08,194,Anadarko,884.626355,"42,93,668",11.78
Aug-08,204,Anadarko,883.700117,"42,76,198",8.67
Sep-08,206,Anadarko,893.738513,"42,58,812",7.54
Oct-08,197,Anadarko,912.695071,"41,83,105",6.87
Nov-08,181,Anadarko,936.998373,"42,75,290",6.54
Dec-08,150,Anadarko,966.157396,"42,82,889",6.74
Jan-09,128,Anadarko,1005.71085,"43,04,635",6.18
Feb-09,105,Anadarko,1055.30119,"43,92,981",5.21
Mar-09,84,Anadarko,1103.09449,"41,81,360",4.34
Apr-09,72,Anadarko,1151.89858,"42,08,099",3.67
May-09,62,Anadarko,1184.27969,"42,74,415",3.48
Jun-09,57,Anadarko,1195.42933,"42,52,778",3.51
Jul-09,59,Anadarko,1187.52098,"42,28,232",3.5
Aug-09,63,Anadarko,1186.20443,"41,77,008",3.29
Sep-09,64,Anadarko,1159.59067,"41,67,953",2.91
Oct-09,69,Anadarko,1175.19967,"41,04,892",3.92
Nov-09,76,Anadarko,1192.58213,"40,94,811",4.4
Dec-09,93,Anadarko,1208.39185,"38,77,317",5.23
Jan-10,100,Anadarko,1227.39236,"38,57,045",5.95
Feb-10,107,Anadarko,1257.9783,"42,21,159",5.62
Mar-10,113,Anadarko,1294.41713,"40,26,510",4.87
Apr-10,122,Anadarko,1335.14203,"40,54,154",4.13
May-10,131,Anadarko,1361.50302,"41,06,904",4.13
Jun-10,137,Anadarko,1369.03121,"44,19,987",4.23
Jul-10,145,Anadarko,1354.31859,"42,43,478",4.4
Aug-10,151,Anadarko,1326.42309,"42,22,838",4.13
Sep-10,158,Anadarko,1308.59758,"45,16,421",3.76
Oct-10,174,Anadarko,1286.79757,"43,33,798",3.83
Nov-10,174,Anadarko,1274.00826,"46,29,196",3.96
Dec-10,184,Anadarko,1262.70635,"44,23,930",4.56
Jan-11,179,Anadarko,1255.88356,"42,68,544",4.66
Feb-11,175,Anadarko,1255.98725,"41,01,956",4.49
Mar-11,181,Anadarko,1258.45169,"43,38,599",4.24
Apr-11,195,Anadarko,1260.40036,"46,71,505",4.35
May-11,196,Anadarko,1256.27219,"46,07,419",4.31
Jun-11,198,Anadarko,1243.46568,"43,85,923",4.6
Jul-11,203,Anadarko,1217.44322,"44,01,682",4.39
Aug-11,215,Anadarko,1176.50167,"44,81,915",4.4
Sep-11,215,Anadarko,1131.46904,"45,04,888",3.92
Oct-11,217,Anadarko,1092.03521,"45,06,756",4.06
Nov-11,206,Anadarko,1060.86759,"46,16,667",3.58
Dec-11,207,Anadarko,1037.28321,"45,69,487",3.66
Jan-12,216,Anadarko,1021.36519,"46,20,620",3.27
Feb-12,225,Anadarko,1016.31937,"46,96,845",2.86
Mar-12,226,Anadarko,1018.67151,"44,89,993",2.36
Apr-12,224,Anadarko,1028.21092,"46,89,718",2.04
May-12,226,Anadarko,1037.29233,"48,04,901",2.29
Jun-12,223,Anadarko,1043.36271,"47,31,971",2.35
Jul-12,227,Anadarko,1044.94173,"47,76,296",2.78
Aug-12,210,Anadarko,1045.47199,"50,38,148",2.83
Sep-12,198,Anadarko,1047.60081,"49,69,066",2.67
Oct-12,196,Anadarko,1046.07054,"49,16,107",3.16
Nov-12,195,Anadarko,1043.36624,"49,58,256",4.03
Dec-12,197,Anadarko,1046.61491,"49,76,964",3.93
Jan-13,202,Anadarko,1059.54226,"50,70,190",4.14
Feb-13,211,Anadarko,1077.45162,"49,21,307",3.99
Mar-13,206,Anadarko,1095.95133,"49,75,105",3.84
Apr-13,208,Anadarko,1118.41356,"51,41,242",3.98
May-13,214,Anadarko,1135.57503,"52,93,762",3.94
Jun-13,209,Anadarko,1149.41243,"51,76,510",3.9
Jul-13,206,Anadarko,1157.65032,"53,15,098",3.41
Aug-13,206,Anadarko,1179.28143,"55,02,556",3.17
Sep-13,202,Anadarko,1163.1599,"53,02,875",3.49
Oct-13,215,Anadarko,1118.19902,"54,20,770",3.4
Nov-13,208,Anadarko,1076.78009,"54,66,831",3.77
Dec-13,204,Anadarko,1040.48594,"52,14,722",4.75
Jan-14,208,Anadarko,1005.42687,"51,66,933",7.15
Feb-14,208,Anadarko,969.803838,"51,47,750",9.11
Mar-14,212,Anadarko,943.202432,"53,92,104",8.12
Apr-14,225,Anadarko,927.593699,"56,48,216",5.11
May-14,225,Anadarko,928.795354,"57,26,442",4.6
Jun-14,228,Anadarko,947.929903,"56,78,580",5.32
Jul-14,233,Anadarko,973.343379,"57,46,081",4.77
Aug-14,240,Anadarko,1002.48015,"57,74,762",3.87
Sep-14,247,Anadarko,1012.33698,"58,91,139",4.24
Oct-14,240,Anadarko,1003.17872,"59,87,968",3.87
Nov-14,243,Anadarko,1028.40849,"59,76,138",3.97
Dec-14,241,Anadarko,1074.85149,"59,66,296",4.44
Jan-15,212,Anadarko,1127.90871,"58,56,386",4.75
Feb-15,161,Anadarko,1190.35,"58,74,158",5.46
Mar-15,136,Anadarko,1252.68437,"57,02,736",3.9
Apr-15,119,Anadarko,1333.11927,"59,69,882",2.59
May-15,99,Anadarko,1431.12669,"59,72,788",2.52
Jun-15,103,Anadarko,1546.98216,"59,62,648",2.56
Jul-15,104,Anadarko,1667.17748,"59,62,050",2.66
