Month,Region,Rig Count,ProdPerRig,TotProd,OilPrice
1/1/2007,Anadarko,176.00,19.32,126398.04,58.17
2/1/2007,Anadarko,180.00,20.16,134177.22,61.78
3/1/2007,Anadarko,166.00,20.92,137515.51,65.94
4/1/2007,Anadarko,157.00,21.76,140625.72,65.78
5/1/2007,Anadarko,170.00,22.59,138404.55,64.02
6/1/2007,Anadarko,181.00,23.49,137444.78,70.47
7/1/2007,Anadarko,166.00,24.43,137475.95,78.20
8/1/2007,Anadarko,173.00,25.46,136551.04,73.98
9/1/2007,Anadarko,168.00,26.46,147882.27,81.64
10/1/2007,Anadarko,174.00,27.49,141932.05,94.16
11/1/2007,Anadarko,182.00,28.48,144123.54,88.60
12/1/2007,Anadarko,182.00,29.57,138383.59,95.95
1/1/2008,Anadarko,180.00,30.88,150175.62,91.67
2/1/2008,Anadarko,187.00,31.97,136588.55,101.78
3/1/2008,Anadarko,190.00,32.53,153897.59,101.54
4/1/2008,Anadarko,190.00,32.73,153388.06,113.70
5/1/2008,Anadarko,189.00,32.71,150163.38,127.35
6/1/2008,Anadarko,188.00,32.40,150642.32,139.96
7/1/2008,Anadarko,194.00,31.85,151318.78,124.17
8/1/2008,Anadarko,204.00,31.41,148579.57,115.55
9/1/2008,Anadarko,206.00,31.38,151109.57,100.70
10/1/2008,Anadarko,197.00,31.87,144861.75,68.10
11/1/2008,Anadarko,181.00,32.86,144482.50,55.21
12/1/2008,Anadarko,150.00,34.35,140013.26,44.60
1/1/2009,Anadarko,128.00,36.63,142279.58,41.73
2/1/2009,Anadarko,105.00,39.63,152977.69,44.15
3/1/2009,Anadarko,84.00,42.69,142412.11,49.64
4/1/2009,Anadarko,72.00,46.31,148691.71,50.35
5/1/2009,Anadarko,62.00,49.85,150122.99,66.31
6/1/2009,Anadarko,57.00,53.35,146812.63,69.82
7/1/2009,Anadarko,59.00,56.63,135785.21,69.26
8/1/2009,Anadarko,63.00,60.27,136524.84,69.97
9/1/2009,Anadarko,64.00,62.60,143158.37,70.46
10/1/2009,Anadarko,69.00,63.33,142941.05,77.04
11/1/2009,Anadarko,76.00,64.86,138310.34,77.19
12/1/2009,Anadarko,93.00,66.30,130869.53,79.39
1/1/2010,Anadarko,100.00,67.49,126697.13,72.85
2/1/2010,Anadarko,107.00,68.00,141421.46,79.72
3/1/2010,Anadarko,113.00,67.97,150584.18,83.45
4/1/2010,Anadarko,122.00,68.50,148353.32,86.07
5/1/2010,Anadarko,131.00,69.97,150437.28,74.00
6/1/2010,Anadarko,137.00,71.98,157605.23,75.59
7/1/2010,Anadarko,145.00,73.48,160035.58,78.85
8/1/2010,Anadarko,151.00,74.32,159838.14,71.93
9/1/2010,Anadarko,158.00,74.87,164403.01,79.95
10/1/2010,Anadarko,174.00,75.87,166504.36,81.45
11/1/2010,Anadarko,174.00,78.00,179848.67,84.12
12/1/2010,Anadarko,184.00,80.37,182678.06,91.38
1/1/2011,Anadarko,179.00,82.26,182951.24,90.99
2/1/2011,Anadarko,175.00,83.38,164482.80,97.10
3/1/2011,Anadarko,181.00,84.21,201754.01,106.19
4/1/2011,Anadarko,195.00,85.70,203002.26,113.39
5/1/2011,Anadarko,196.00,87.68,203390.80,102.70
6/1/2011,Anadarko,198.00,89.47,205953.22,95.30
7/1/2011,Anadarko,203.00,90.25,205098.63,95.68
8/1/2011,Anadarko,215.00,90.13,210046.74,88.81
9/1/2011,Anadarko,215.00,89.74,204489.12,78.93
10/1/2011,Anadarko,217.00,89.43,226947.30,93.19
11/1/2011,Anadarko,206.00,89.86,218683.85,100.36
12/1/2011,Anadarko,207.00,91.13,223316.06,98.83
1/1/2012,Anadarko,216.00,93.17,240878.14,98.46
2/1/2012,Anadarko,225.00,95.95,238569.90,107.08
3/1/2012,Anadarko,226.00,99.22,235389.42,103.03
4/1/2012,Anadarko,224.00,104.00,250443.95,104.89
5/1/2012,Anadarko,226.00,110.27,263875.12,86.52
6/1/2012,Anadarko,223.00,117.96,269988.48,85.04
7/1/2012,Anadarko,227.00,125.53,281298.86,88.08
8/1/2012,Anadarko,210.00,132.54,282546.27,94.61
9/1/2012,Anadarko,198.00,137.85,289179.03,92.18
10/1/2012,Anadarko,196.00,141.27,317509.73,86.23
11/1/2012,Anadarko,195.00,144.30,293731.24,88.54
12/1/2012,Anadarko,197.00,147.47,302978.82,91.83
1/1/2013,Anadarko,202.00,150.23,298258.50,97.65
2/1/2013,Anadarko,211.00,151.97,296656.36,92.03
3/1/2013,Anadarko,206.00,152.95,335916.58,97.24
4/1/2013,Anadarko,208.00,154.70,341028.79,93.22
5/1/2013,Anadarko,214.00,157.40,347935.17,91.93
6/1/2013,Anadarko,209.00,160.62,347529.48,96.36
7/1/2013,Anadarko,206.00,162.83,325577.37,105.10
8/1/2013,Anadarko,206.00,165.23,370955.38,107.98
9/1/2013,Anadarko,202.00,162.79,342231.62,102.36
10/1/2013,Anadarko,215.00,158.85,349498.74,96.29
11/1/2013,Anadarko,208.00,155.52,344290.69,92.55
12/1/2013,Anadarko,204.00,152.55,343564.98,98.17
1/1/2014,Anadarko,208.00,149.41,362611.69,97.55
2/1/2014,Anadarko,208.00,146.60,358763.09,102.88
3/1/2014,Anadarko,212.00,145.11,384676.19,101.57
4/1/2014,Anadarko,225.00,145.38,395006.45,100.07
5/1/2014,Anadarko,225.00,147.98,385361.86,103.40
6/1/2014,Anadarko,228.00,152.32,368574.47,106.07
7/1/2014,Anadarko,233.00,156.03,381807.28,98.23
8/1/2014,Anadarko,240.00,160.23,409148.08,97.86
9/1/2014,Anadarko,247.00,161.21,408627.69,91.17
10/1/2014,Anadarko,240.00,160.35,427589.20,80.53
11/1/2014,Anadarko,243.00,163.60,440415.18,65.94
12/1/2014,Anadarko,241.00,168.99,401244.10,53.45
1/1/2015,Anadarko,212.00,175.65,460229.66,47.79
2/1/2015,Anadarko,161.00,183.78,455490.11,49.84
3/1/2015,Anadarko,136.00,192.93,485720.85,47.72
4/1/2015,Anadarko,119.00,206.66,474044.60,59.62
5/1/2015,Anadarko,99.00,223.40,463436.19,60.25
6/1/2015,Anadarko,103.00,241.52,459952.27,59.48
7/1/2015,Anadarko,104.00,259.18,439553.02,47.11
8/1/2015,Anadarko,107.00,275.65,442161.38,49.20
9/1/2015,Anadarko,103.00,287.28,440655.49,45.06
10/1/2015,Anadarko,91.00,293.25,439968.02,46.60
11/1/2015,Anadarko,84.00,296.86,435795.37,40.43
12/1/2015,Anadarko,87.00,301.89,433240.06,37.13
1/1/2016,Anadarko,84.00,310.15,452093.44,33.66
2/1/2016,Anadarko,71.00,320.17,406960.15,32.74
3/1/2016,Anadarko,65.00,329.05,432662.32,36.94
4/1/2016,Anadarko,60.00,338.31,418266.41,45.98
5/1/2016,Anadarko,55.00,347.78,414754.86,49.10
6/1/2016,Anadarko,56.00,361.21,403214.49,48.27
7/1/2016,Anadarko,60.00,378.53,386780.77,41.54
8/1/2016,Anadarko,62.00,396.41,403768.70,44.68
9/1/2016,Anadarko,69.00,408.65,396397.13,47.72
10/1/2016,Anadarko,78.00,413.58,405483.84,46.83
11/1/2016,Anadarko,80.00,414.88,418868.30,49.41
12/1/2016,Anadarko,83.00,417.13,399787.77,53.75
1/1/2017,Anadarko,84.00,419.44,385040.69,52.75
2/1/2017,Anadarko,96.00,419.06,405994.04,54.00
3/1/2017,Anadarko,105.00,412.57,414444.17,50.54
4/1/2017,Anadarko,118.00,396.14,413484.00,49.31
5/1/2017,Anadarko,116.00,375.96,421342.27,48.29
6/1/2017,Anadarko,125.00,361.13,431183.66,46.02
7/1/2017,Anadarko,129.00,363.31,439407.23,50.21
8/1/2017,Anadarko,127.00,367.33,450171.49,47.26
9/1/2017,Anadarko,126.00,370.45,461515.96,51.67
10/1/2017,Anadarko,121.00,373.15,471144.81,54.36
11/1/2017,Anadarko,118.00,377.15,479468.07,57.40
12/1/2017,Anadarko,118.00,382.15,485047.72,60.46
1/1/2018,Anadarko,116.00,387.15,488488.36,64.82
2/1/2018,Anadarko,120.00,392.15,490870.80,61.43
1/1/2007,Appalachia,56.00,7.32,17734.77,58.17
2/1/2007,Appalachia,56.00,8.01,17724.36,61.78
3/1/2007,Appalachia,53.00,8.58,20127.94,65.94
4/1/2007,Appalachia,52.00,9.18,18548.60,65.78
5/1/2007,Appalachia,54.00,9.71,19858.07,64.02
6/1/2007,Appalachia,56.00,10.23,19045.65,70.47
7/1/2007,Appalachia,52.00,10.73,19715.90,78.20
8/1/2007,Appalachia,61.00,11.26,19591.07,73.98
9/1/2007,Appalachia,59.00,11.80,19900.06,81.64
10/1/2007,Appalachia,58.00,12.29,19906.67,94.16
11/1/2007,Appalachia,57.00,12.63,20326.55,88.60
12/1/2007,Appalachia,62.00,12.42,21221.45,95.95
1/1/2008,Appalachia,56.00,11.63,21598.07,91.67
2/1/2008,Appalachia,56.00,11.03,23272.06,101.78
3/1/2008,Appalachia,50.00,10.66,22637.20,101.54
4/1/2008,Appalachia,51.00,10.57,22147.81,113.70
5/1/2008,Appalachia,53.00,10.25,22247.20,127.35
6/1/2008,Appalachia,54.00,9.89,21851.61,139.96
7/1/2008,Appalachia,54.00,9.17,22238.74,124.17
8/1/2008,Appalachia,59.00,8.90,22576.47,115.55
9/1/2008,Appalachia,62.00,8.39,22643.23,100.70
10/1/2008,Appalachia,62.00,8.03,22537.63,68.10
11/1/2008,Appalachia,60.00,7.87,23291.90,55.21
12/1/2008,Appalachia,59.00,7.83,18094.39,44.60
1/1/2009,Appalachia,51.00,7.84,24000.00,41.73
2/1/2009,Appalachia,53.00,7.85,24000.00,44.15
3/1/2009,Appalachia,53.00,7.82,27000.00,49.64
4/1/2009,Appalachia,56.00,7.69,25000.00,50.35
5/1/2009,Appalachia,55.00,7.45,24000.00,66.31
6/1/2009,Appalachia,65.00,7.24,27000.00,69.82
7/1/2009,Appalachia,71.00,6.85,24000.00,69.26
8/1/2009,Appalachia,76.00,6.68,25000.00,69.97
9/1/2009,Appalachia,78.00,6.54,26000.00,70.46
10/1/2009,Appalachia,83.00,6.54,24000.00,77.04
11/1/2009,Appalachia,90.00,6.34,24000.00,77.19
12/1/2009,Appalachia,91.00,6.11,26000.00,79.39
1/1/2010,Appalachia,98.00,5.83,26000.00,72.85
2/1/2010,Appalachia,97.00,5.54,26000.00,79.72
3/1/2010,Appalachia,98.00,5.38,27000.00,83.45
4/1/2010,Appalachia,105.00,5.35,27000.00,86.07
5/1/2010,Appalachia,105.00,5.38,27000.00,74.00
6/1/2010,Appalachia,112.00,5.50,28000.00,75.59
7/1/2010,Appalachia,115.00,5.36,27000.00,78.85
8/1/2010,Appalachia,117.00,5.26,27000.00,71.93
9/1/2010,Appalachia,119.00,5.06,27000.00,79.95
10/1/2010,Appalachia,129.00,4.94,27000.00,81.45
11/1/2010,Appalachia,128.00,4.78,27000.00,84.12
12/1/2010,Appalachia,131.00,4.69,27000.00,91.38
1/1/2011,Appalachia,135.00,4.62,28000.00,90.99
2/1/2011,Appalachia,133.00,4.59,28000.00,97.10
3/1/2011,Appalachia,125.00,4.64,29000.00,106.19
4/1/2011,Appalachia,127.00,4.73,29000.00,113.39
5/1/2011,Appalachia,135.00,4.86,29000.00,102.70
6/1/2011,Appalachia,142.00,5.05,29000.00,95.30
7/1/2011,Appalachia,143.00,5.29,28000.00,95.68
8/1/2011,Appalachia,141.00,5.55,30000.00,88.81
9/1/2011,Appalachia,145.00,5.86,28000.00,78.93
10/1/2011,Appalachia,151.00,5.88,28000.00,93.19
11/1/2011,Appalachia,148.00,5.99,28000.00,100.36
12/1/2011,Appalachia,152.00,6.10,28000.00,98.83
1/1/2012,Appalachia,154.00,6.43,31000.00,98.46
2/1/2012,Appalachia,152.00,6.97,32000.00,107.08
3/1/2012,Appalachia,138.00,7.80,32000.00,103.03
4/1/2012,Appalachia,133.00,8.42,32000.00,104.89
5/1/2012,Appalachia,131.00,10.38,32000.00,86.52
6/1/2012,Appalachia,126.00,11.87,32000.00,85.04
7/1/2012,Appalachia,122.00,13.26,33000.00,88.08
8/1/2012,Appalachia,115.00,14.83,34000.00,94.61
9/1/2012,Appalachia,109.00,16.29,33000.00,92.18
10/1/2012,Appalachia,115.00,17.71,34000.00,86.23
11/1/2012,Appalachia,120.00,19.25,36000.00,88.54
12/1/2012,Appalachia,123.00,21.10,36000.00,91.83
1/1/2013,Appalachia,125.00,23.52,39000.00,97.65
2/1/2013,Appalachia,119.00,26.26,40000.00,92.03
3/1/2013,Appalachia,120.00,28.69,42000.00,97.24
4/1/2013,Appalachia,115.00,31.00,46000.00,93.22
5/1/2013,Appalachia,114.00,32.88,49000.00,91.93
6/1/2013,Appalachia,109.00,35.24,51000.00,96.36
7/1/2013,Appalachia,113.00,36.56,64000.00,105.10
8/1/2013,Appalachia,123.00,39.33,64000.00,107.98
9/1/2013,Appalachia,122.00,39.80,62000.00,102.36
10/1/2013,Appalachia,122.00,41.97,63000.00,96.29
11/1/2013,Appalachia,123.00,42.57,64000.00,92.55
12/1/2013,Appalachia,124.00,42.89,64000.00,98.17
1/1/2014,Appalachia,125.00,43.19,69000.00,97.55
2/1/2014,Appalachia,122.00,43.97,71000.00,102.88
3/1/2014,Appalachia,118.00,45.68,71000.00,101.57
4/1/2014,Appalachia,118.00,48.81,74000.00,100.07
5/1/2014,Appalachia,122.00,52.37,75000.00,103.40
6/1/2014,Appalachia,123.00,56.06,75000.00,106.07
7/1/2014,Appalachia,124.00,59.55,82000.00,98.23
8/1/2014,Appalachia,123.00,63.52,84000.00,97.86
9/1/2014,Appalachia,127.00,66.34,86000.00,91.17
10/1/2014,Appalachia,130.00,70.34,91000.00,80.53
11/1/2014,Appalachia,131.00,73.26,91000.00,65.94
12/1/2014,Appalachia,131.00,74.65,91000.00,53.45
1/1/2015,Appalachia,124.00,76.73,103000.00,47.79
2/1/2015,Appalachia,109.00,78.25,107000.00,49.84
3/1/2015,Appalachia,99.00,79.58,108000.00,47.72
4/1/2015,Appalachia,97.00,81.28,119000.00,59.62
5/1/2015,Appalachia,91.00,83.02,119000.00,60.25
6/1/2015,Appalachia,86.00,85.77,118000.00,59.48
7/1/2015,Appalachia,82.00,89.07,118000.00,47.11
8/1/2015,Appalachia,74.00,92.15,114000.00,49.20
9/1/2015,Appalachia,70.00,95.12,114000.00,45.06
10/1/2015,Appalachia,66.00,96.83,119000.00,46.60
11/1/2015,Appalachia,63.00,99.15,118000.00,40.43
12/1/2015,Appalachia,59.00,102.25,123000.00,37.13
1/1/2016,Appalachia,51.00,103.64,113000.00,33.66
2/1/2016,Appalachia,42.00,104.47,114000.00,32.74
3/1/2016,Appalachia,41.00,103.77,110000.00,36.94
4/1/2016,Appalachia,39.00,103.25,108000.00,45.98
5/1/2016,Appalachia,36.00,98.66,104000.00,49.10
6/1/2016,Appalachia,36.00,95.62,100000.00,48.27
7/1/2016,Appalachia,36.00,92.69,98000.00,41.54
8/1/2016,Appalachia,37.00,92.49,93000.00,44.68
9/1/2016,Appalachia,45.00,91.91,86000.00,47.72
10/1/2016,Appalachia,49.00,92.65,85000.00,46.83
11/1/2016,Appalachia,53.00,94.33,83000.00,49.41
12/1/2016,Appalachia,59.00,97.00,81000.00,53.75
1/1/2017,Appalachia,61.00,101.24,89000.00,52.75
2/1/2017,Appalachia,63.00,108.29,92000.00,54.00
3/1/2017,Appalachia,64.00,116.84,86000.00,50.54
4/1/2017,Appalachia,68.00,126.71,86000.00,49.31
5/1/2017,Appalachia,68.00,135.06,91000.00,48.29
6/1/2017,Appalachia,73.00,144.23,91000.00,46.02
7/1/2017,Appalachia,75.00,145.16,95000.00,50.21
8/1/2017,Appalachia,76.00,144.40,99000.00,47.26
9/1/2017,Appalachia,77.00,144.01,100000.00,51.67
10/1/2017,Appalachia,75.00,143.76,105000.00,54.36
11/1/2017,Appalachia,72.00,144.16,109000.00,57.40
12/1/2017,Appalachia,74.00,144.56,104000.00,60.46
1/1/2018,Appalachia,76.00,144.96,107157.83,64.82
2/1/2018,Appalachia,77.00,145.36,109686.07,61.43
1/1/2007,Bakken,45.00,111.35,132027.68,58.17
2/1/2007,Bakken,42.00,112.42,131832.79,61.78
3/1/2007,Bakken,44.00,113.30,133265.10,65.94
4/1/2007,Bakken,47.00,114.16,132782.93,65.78
5/1/2007,Bakken,46.00,114.91,137284.61,64.02
6/1/2007,Bakken,46.00,115.62,136141.33,70.47
7/1/2007,Bakken,53.00,116.31,138121.52,78.20
8/1/2007,Bakken,55.00,117.09,139600.90,73.98
9/1/2007,Bakken,50.00,118.01,140431.97,81.64
10/1/2007,Bakken,52.00,119.02,145072.00,94.16
11/1/2007,Bakken,54.00,119.96,143042.57,88.60
12/1/2007,Bakken,58.00,123.87,147262.10,95.95
1/1/2008,Bakken,55.00,130.86,147551.03,91.67
2/1/2008,Bakken,60.00,139.28,147277.93,101.78
3/1/2008,Bakken,63.00,148.22,152690.84,101.54
4/1/2008,Bakken,64.00,159.00,159543.97,113.70
5/1/2008,Bakken,70.00,171.00,166824.81,127.35
6/1/2008,Bakken,77.00,183.68,176895.50,139.96
7/1/2008,Bakken,75.00,194.00,181490.74,124.17
8/1/2008,Bakken,76.00,199.21,187637.90,115.55
9/1/2008,Bakken,77.00,198.77,201767.13,100.70
10/1/2008,Bakken,80.00,194.48,216974.74,68.10
11/1/2008,Bakken,90.00,188.44,228551.27,55.21
12/1/2008,Bakken,87.00,185.48,213858.81,44.60
1/1/2009,Bakken,73.00,190.15,198340.32,41.73
2/1/2009,Bakken,65.00,203.03,203940.57,44.15
3/1/2009,Bakken,51.00,219.95,208099.23,49.64
4/1/2009,Bakken,42.00,240.61,210145.20,50.35
5/1/2009,Bakken,35.00,262.01,217937.39,66.31
6/1/2009,Bakken,35.00,283.21,225931.33,69.82
7/1/2009,Bakken,40.00,302.30,237815.94,69.26
8/1/2009,Bakken,44.00,316.75,241439.23,69.97
9/1/2009,Bakken,47.00,324.94,247621.10,70.46
10/1/2009,Bakken,51.00,326.45,250619.06,77.04
11/1/2009,Bakken,60.00,320.25,254239.50,77.19
12/1/2009,Bakken,66.00,309.63,251186.52,79.39
1/1/2010,Bakken,74.00,295.32,248787.97,72.85
2/1/2010,Bakken,85.00,280.52,271109.82,79.72
3/1/2010,Bakken,97.00,270.21,286173.26,83.45
4/1/2010,Bakken,101.00,262.42,293407.57,86.07
5/1/2010,Bakken,103.00,258.16,308556.29,74.00
6/1/2010,Bakken,116.00,254.86,323633.30,75.59
