@relation oil_prod_data_v1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-unset-class-temporarily

@attribute Region {Anadarko,Appalachia,Bakken,'Eagle Ford',Haynesville,Niobrara,Permian}
@attribute 'Rig Count' numeric
@attribute ProdPerRig numeric
@attribute TotProd numeric
@attribute OilPrice {'\'(-inf-54.184]\'','\'(54.184-75.628]\'','\'(75.628-97.072]\'','\'(97.072-118.516]\'','\'(118.516-inf)\''}

@data
Anadarko,176,19.32,126398.04,'\'(54.184-75.628]\''
Anadarko,180,20.16,134177.22,'\'(54.184-75.628]\''
Anadarko,166,20.92,137515.51,'\'(54.184-75.628]\''
Anadarko,157,21.76,140625.72,'\'(54.184-75.628]\''
Anadarko,170,22.59,138404.55,'\'(54.184-75.628]\''
Anadarko,181,23.49,137444.78,'\'(54.184-75.628]\''
Anadarko,166,24.43,137475.95,'\'(75.628-97.072]\''
Anadarko,173,25.46,136551.04,'\'(54.184-75.628]\''
Anadarko,168,26.46,147882.27,'\'(75.628-97.072]\''
Anadarko,174,27.49,141932.05,'\'(75.628-97.072]\''
Anadarko,182,28.48,144123.54,'\'(75.628-97.072]\''
Anadarko,182,29.57,138383.59,'\'(75.628-97.072]\''
Anadarko,180,30.88,150175.62,'\'(75.628-97.072]\''
Anadarko,187,31.97,136588.55,'\'(97.072-118.516]\''
Anadarko,190,32.53,153897.59,'\'(97.072-118.516]\''
Anadarko,190,32.73,153388.06,'\'(97.072-118.516]\''
Anadarko,189,32.71,150163.38,'\'(118.516-inf)\''
Anadarko,188,32.4,150642.32,'\'(118.516-inf)\''
Anadarko,194,31.85,151318.78,'\'(118.516-inf)\''
Anadarko,204,31.41,148579.57,'\'(97.072-118.516]\''
Anadarko,206,31.38,151109.57,'\'(97.072-118.516]\''
Anadarko,197,31.87,144861.75,'\'(54.184-75.628]\''
Anadarko,181,32.86,144482.5,'\'(54.184-75.628]\''
Anadarko,150,34.35,140013.26,'\'(-inf-54.184]\''
Anadarko,128,36.63,142279.58,'\'(-inf-54.184]\''
Anadarko,105,39.63,152977.69,'\'(-inf-54.184]\''
Anadarko,84,42.69,142412.11,'\'(-inf-54.184]\''
Anadarko,72,46.31,148691.71,'\'(-inf-54.184]\''
Anadarko,62,49.85,150122.99,'\'(54.184-75.628]\''
Anadarko,57,53.35,146812.63,'\'(54.184-75.628]\''
Anadarko,59,56.63,135785.21,'\'(54.184-75.628]\''
Anadarko,63,60.27,136524.84,'\'(54.184-75.628]\''
Anadarko,64,62.6,143158.37,'\'(54.184-75.628]\''
Anadarko,69,63.33,142941.05,'\'(75.628-97.072]\''
Anadarko,76,64.86,138310.34,'\'(75.628-97.072]\''
Anadarko,93,66.3,130869.53,'\'(75.628-97.072]\''
Anadarko,100,67.49,126697.13,'\'(54.184-75.628]\''
Anadarko,107,68,141421.46,'\'(75.628-97.072]\''
Anadarko,113,67.97,150584.18,'\'(75.628-97.072]\''
Anadarko,122,68.5,148353.32,'\'(75.628-97.072]\''
Anadarko,131,69.97,150437.28,'\'(54.184-75.628]\''
Anadarko,137,71.98,157605.23,'\'(54.184-75.628]\''
Anadarko,145,73.48,160035.58,'\'(75.628-97.072]\''
Anadarko,151,74.32,159838.14,'\'(54.184-75.628]\''
Anadarko,158,74.87,164403.01,'\'(75.628-97.072]\''
Anadarko,174,75.87,166504.36,'\'(75.628-97.072]\''
Anadarko,174,78,179848.67,'\'(75.628-97.072]\''
Anadarko,184,80.37,182678.06,'\'(75.628-97.072]\''
Anadarko,179,82.26,182951.24,'\'(75.628-97.072]\''
Anadarko,175,83.38,164482.8,'\'(97.072-118.516]\''
Anadarko,181,84.21,201754.01,'\'(97.072-118.516]\''
Anadarko,195,85.7,203002.26,'\'(97.072-118.516]\''
Anadarko,196,87.68,203390.8,'\'(97.072-118.516]\''
Anadarko,198,89.47,205953.22,'\'(75.628-97.072]\''
Anadarko,203,90.25,205098.63,'\'(75.628-97.072]\''
Anadarko,215,90.13,210046.74,'\'(75.628-97.072]\''
Anadarko,215,89.74,204489.12,'\'(75.628-97.072]\''
Anadarko,217,89.43,226947.3,'\'(75.628-97.072]\''
Anadarko,206,89.86,218683.85,'\'(97.072-118.516]\''
Anadarko,207,91.13,223316.06,'\'(97.072-118.516]\''
Anadarko,216,93.17,240878.14,'\'(97.072-118.516]\''
Anadarko,225,95.95,238569.9,'\'(97.072-118.516]\''
Anadarko,226,99.22,235389.42,'\'(97.072-118.516]\''
Anadarko,224,104,250443.95,'\'(97.072-118.516]\''
Anadarko,226,110.27,263875.12,'\'(75.628-97.072]\''
Anadarko,223,117.96,269988.48,'\'(75.628-97.072]\''
Anadarko,227,125.53,281298.86,'\'(75.628-97.072]\''
Anadarko,210,132.54,282546.27,'\'(75.628-97.072]\''
Anadarko,198,137.85,289179.03,'\'(75.628-97.072]\''
Anadarko,196,141.27,317509.73,'\'(75.628-97.072]\''
Anadarko,195,144.3,293731.24,'\'(75.628-97.072]\''
Anadarko,197,147.47,302978.82,'\'(75.628-97.072]\''
Anadarko,202,150.23,298258.5,'\'(97.072-118.516]\''
Anadarko,211,151.97,296656.36,'\'(75.628-97.072]\''
Anadarko,206,152.95,335916.58,'\'(97.072-118.516]\''
Anadarko,208,154.7,341028.79,'\'(75.628-97.072]\''
Anadarko,214,157.4,347935.17,'\'(75.628-97.072]\''
Anadarko,209,160.62,347529.48,'\'(75.628-97.072]\''
Anadarko,206,162.83,325577.37,'\'(97.072-118.516]\''
Anadarko,206,165.23,370955.38,'\'(97.072-118.516]\''
Anadarko,202,162.79,342231.62,'\'(97.072-118.516]\''
Anadarko,215,158.85,349498.74,'\'(75.628-97.072]\''
Anadarko,208,155.52,344290.69,'\'(75.628-97.072]\''
Anadarko,204,152.55,343564.98,'\'(97.072-118.516]\''
Anadarko,208,149.41,362611.69,'\'(97.072-118.516]\''
Anadarko,208,146.6,358763.09,'\'(97.072-118.516]\''
Anadarko,212,145.11,384676.19,'\'(97.072-118.516]\''
Anadarko,225,145.38,395006.45,'\'(97.072-118.516]\''
Anadarko,225,147.98,385361.86,'\'(97.072-118.516]\''
Anadarko,228,152.32,368574.47,'\'(97.072-118.516]\''
Anadarko,233,156.03,381807.28,'\'(97.072-118.516]\''
Anadarko,240,160.23,409148.08,'\'(97.072-118.516]\''
Anadarko,247,161.21,408627.69,'\'(75.628-97.072]\''
Anadarko,240,160.35,427589.2,'\'(75.628-97.072]\''
Anadarko,243,163.6,440415.18,'\'(54.184-75.628]\''
Anadarko,241,168.99,401244.1,'\'(-inf-54.184]\''
Anadarko,212,175.65,460229.66,'\'(-inf-54.184]\''
Anadarko,161,183.78,455490.11,'\'(-inf-54.184]\''
Anadarko,136,192.93,485720.85,'\'(-inf-54.184]\''
Anadarko,119,206.66,474044.6,'\'(54.184-75.628]\''
Anadarko,99,223.4,463436.19,'\'(54.184-75.628]\''
Anadarko,103,241.52,459952.27,'\'(54.184-75.628]\''
Anadarko,104,259.18,439553.02,'\'(-inf-54.184]\''
Anadarko,107,275.65,442161.38,'\'(-inf-54.184]\''
Anadarko,103,287.28,440655.49,'\'(-inf-54.184]\''
Anadarko,91,293.25,439968.02,'\'(-inf-54.184]\''
Anadarko,84,296.86,435795.37,'\'(-inf-54.184]\''
Anadarko,87,301.89,433240.06,'\'(-inf-54.184]\''
Anadarko,84,310.15,452093.44,'\'(-inf-54.184]\''
Anadarko,71,320.17,406960.15,'\'(-inf-54.184]\''
Anadarko,65,329.05,432662.32,'\'(-inf-54.184]\''
Anadarko,60,338.31,418266.41,'\'(-inf-54.184]\''
Anadarko,55,347.78,414754.86,'\'(-inf-54.184]\''
Anadarko,56,361.21,403214.49,'\'(-inf-54.184]\''
Anadarko,60,378.53,386780.77,'\'(-inf-54.184]\''
Anadarko,62,396.41,403768.7,'\'(-inf-54.184]\''
Anadarko,69,408.65,396397.13,'\'(-inf-54.184]\''
Anadarko,78,413.58,405483.84,'\'(-inf-54.184]\''
Anadarko,80,414.88,418868.3,'\'(-inf-54.184]\''
Anadarko,83,417.13,399787.77,'\'(-inf-54.184]\''
Anadarko,84,419.44,385040.69,'\'(-inf-54.184]\''
Anadarko,96,419.06,405994.04,'\'(-inf-54.184]\''
Anadarko,105,412.57,414444.17,'\'(-inf-54.184]\''
Anadarko,118,396.14,413484,'\'(-inf-54.184]\''
Anadarko,116,375.96,421342.27,'\'(-inf-54.184]\''
Anadarko,125,361.13,431183.66,'\'(-inf-54.184]\''
Anadarko,129,363.31,439407.23,'\'(-inf-54.184]\''
Anadarko,127,367.33,450171.49,'\'(-inf-54.184]\''
Anadarko,126,370.45,461515.96,'\'(-inf-54.184]\''
Anadarko,121,373.15,471144.81,'\'(54.184-75.628]\''
Anadarko,118,377.15,479468.07,'\'(54.184-75.628]\''
Anadarko,118,382.15,485047.72,'\'(54.184-75.628]\''
Anadarko,116,387.15,488488.36,'\'(54.184-75.628]\''
Anadarko,120,392.15,490870.8,'\'(54.184-75.628]\''
Appalachia,56,7.32,17734.77,'\'(54.184-75.628]\''
Appalachia,56,8.01,17724.36,'\'(54.184-75.628]\''
Appalachia,53,8.58,20127.94,'\'(54.184-75.628]\''
Appalachia,52,9.18,18548.6,'\'(54.184-75.628]\''
Appalachia,54,9.71,19858.07,'\'(54.184-75.628]\''
Appalachia,56,10.23,19045.65,'\'(54.184-75.628]\''
Appalachia,52,10.73,19715.9,'\'(75.628-97.072]\''
Appalachia,61,11.26,19591.07,'\'(54.184-75.628]\''
Appalachia,59,11.8,19900.06,'\'(75.628-97.072]\''
Appalachia,58,12.29,19906.67,'\'(75.628-97.072]\''
Appalachia,57,12.63,20326.55,'\'(75.628-97.072]\''
Appalachia,62,12.42,21221.45,'\'(75.628-97.072]\''
Appalachia,56,11.63,21598.07,'\'(75.628-97.072]\''
Appalachia,56,11.03,23272.06,'\'(97.072-118.516]\''
Appalachia,50,10.66,22637.2,'\'(97.072-118.516]\''
Appalachia,51,10.57,22147.81,'\'(97.072-118.516]\''
Appalachia,53,10.25,22247.2,'\'(118.516-inf)\''
Appalachia,54,9.89,21851.61,'\'(118.516-inf)\''
Appalachia,54,9.17,22238.74,'\'(118.516-inf)\''
Appalachia,59,8.9,22576.47,'\'(97.072-118.516]\''
Appalachia,62,8.39,22643.23,'\'(97.072-118.516]\''
Appalachia,62,8.03,22537.63,'\'(54.184-75.628]\''
Appalachia,60,7.87,23291.9,'\'(54.184-75.628]\''
Appalachia,59,7.83,18094.39,'\'(-inf-54.184]\''
Appalachia,51,7.84,24000,'\'(-inf-54.184]\''
Appalachia,53,7.85,24000,'\'(-inf-54.184]\''
Appalachia,53,7.82,27000,'\'(-inf-54.184]\''
Appalachia,56,7.69,25000,'\'(-inf-54.184]\''
Appalachia,55,7.45,24000,'\'(54.184-75.628]\''
Appalachia,65,7.24,27000,'\'(54.184-75.628]\''
Appalachia,71,6.85,24000,'\'(54.184-75.628]\''
Appalachia,76,6.68,25000,'\'(54.184-75.628]\''
Appalachia,78,6.54,26000,'\'(54.184-75.628]\''
Appalachia,83,6.54,24000,'\'(75.628-97.072]\''
Appalachia,90,6.34,24000,'\'(75.628-97.072]\''
Appalachia,91,6.11,26000,'\'(75.628-97.072]\''
Appalachia,98,5.83,26000,'\'(54.184-75.628]\''
Appalachia,97,5.54,26000,'\'(75.628-97.072]\''
Appalachia,98,5.38,27000,'\'(75.628-97.072]\''
Appalachia,105,5.35,27000,'\'(75.628-97.072]\''
Appalachia,105,5.38,27000,'\'(54.184-75.628]\''
Appalachia,112,5.5,28000,'\'(54.184-75.628]\''
Appalachia,115,5.36,27000,'\'(75.628-97.072]\''
